min_confluence,hurst_window,atr_stop_multiplier,atr_tp_multiplier,score,sharpe,sortino,return,max_dd,win_rate,profit_factor,trades
2,50,2.5,3.0,1.14603134567196,3.673539245308527,8.100757334702529,0.010330738095238047,-0.00825294812261637,1.0,1037.6904761904782,1
2,100,2.5,3.0,1.14603134567196,3.673539245308527,8.100757334702529,0.010330738095238047,-0.00825294812261637,1.0,1037.6904761904782,1
2,50,2.5,4.0,1.0178175050706906,3.087264112719715,6.247763557953129,0.009670333333333303,-0.00825294812261637,1.0,968.9833333333348,1
2,100,2.5,4.0,1.0178175050706906,3.087264112719715,6.247763557953129,0.009670333333333303,-0.00825294812261637,1.0,968.9833333333348,1
2,50,2.0,3.0,0.9979269590549011,2.6042873838507865,7.459271043985815,0.007799399553571371,-0.008638433730073274,0.6666666666666666,983.5571428571444,1
2,100,2.0,3.0,0.9979269590549011,2.6042873838507865,7.459271043985815,0.007799399553571371,-0.008638433730073274,0.6666666666666666,983.5571428571444,1
2,50,1.5,4.0,0.8785027802751794,2.083083609725499,5.657251569969287,0.007634704427083294,-0.007155267843073338,0.6666666666666666,914.8500000000009,1
2,100,1.5,4.0,0.8785027802751794,2.083083609725499,5.657251569969287,0.007634704427083294,-0.007155267843073338,0.6666666666666666,914.8500000000009,1
2,50,2.0,4.0,0.8697131184536318,2.018012251261974,5.606277267236416,0.007138994791666626,-0.008638433730073274,0.6666666666666666,914.8500000000009,1
2,100,2.0,4.0,0.8697131184536318,2.018012251261974,5.606277267236416,0.007138994791666626,-0.008638433730073274,0.6666666666666666,914.8500000000009,1
2,50,1.5,3.0,0.6441641111157875,1.2021321466667778,2.0701539577921397,0.005258396205357081,-0.008454293105606601,0.4444444444444444,2.0222306386897664,2
2,100,1.5,3.0,0.6441641111157875,1.2021321466667778,2.0701539577921397,0.005258396205357081,-0.008454293105606601,0.4444444444444444,2.0222306386897664,2
3,50,1.5,3.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,50,1.5,4.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,50,2.0,3.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,50,2.0,4.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,50,2.5,3.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,50,2.5,4.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,100,1.5,3.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,100,1.5,4.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,100,2.0,3.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,100,2.0,4.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,100,2.5,3.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
3,100,2.5,4.0,0.5665029293441235,0.8302218097842395,1.1342441838548332,0.0025173333333333237,-0.005488375977616971,0.3333333333333333,252.3833333333338,0
4,50,1.5,3.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,50,1.5,4.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,50,2.0,3.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,50,2.0,4.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,50,2.5,3.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,50,2.5,4.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,100,1.5,3.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,100,1.5,4.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,100,2.0,3.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,100,2.0,4.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,100,2.5,3.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
4,100,2.5,4.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0
