timestamp,equity,cash,open_pnl,returns
2025-08-04 00:00:00-04:00,100000.0,100000.0,0.0,
2025-08-05 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-06 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-07 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-08 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-11 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-12 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-13 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-14 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-15 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-18 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-19 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-20 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-21 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-22 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-25 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-26 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-27 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-28 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-08-29 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-02 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-03 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-04 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-05 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-08 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-09 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-10 00:00:00-04:00,100000.0,100000.0,0.0,0.0
2025-09-11 00:00:00-04:00,99997.95,99998.0,-0.05000000000291038,-2.049999999997887e-05
2025-09-12 00:00:00-04:00,100093.45,99998.0,95.44999999999709,0.0009550195779013393
2025-09-15 00:00:00-04:00,100285.34999999999,100285.4,-0.05000000000291038,0.0019172083687792885
2025-09-16 00:00:00-04:00,100310.59999999999,100285.4,25.19999999999709,0.0002517815413716207
2025-09-17 00:00:00-04:00,100372.09999999999,100285.4,86.69999999999709,0.0006130957246790469
2025-09-18 00:00:00-04:00,100134.34999999999,100285.4,-151.0500000000029,-0.0023686861189513575
2025-09-19 00:00:00-04:00,100026.52968749999,100285.4,-258.8703125000029,-0.0010767565026387205
2025-09-22 00:00:00-04:00,99712.03571428571,99712.08571428571,-0.05000000000291038,-0.0031441056107496257
2025-09-23 00:00:00-04:00,99887.78571428571,99712.08571428571,175.6999999999971,0.0017625755882026972
2025-09-24 00:00:00-04:00,99975.78571428571,99712.08571428571,263.6999999999971,0.0008809885950591401
2025-09-25 00:00:00-04:00,100236.2828125,100236.3328125,-0.05000000000291038,0.0026056019100340055
2025-09-26 00:00:00-04:00,100138.7828125,100236.3328125,-97.55000000000291,-0.0009727016731294613
2025-09-29 00:00:00-04:00,100027.7828125,100236.3328125,-208.5500000000029,-0.001108461645752512
2025-09-30 00:00:00-04:00,99963.7828125,100236.3328125,-272.5500000000029,-0.0006398222393868558
2025-10-01 00:00:00-04:00,99848.0328125,100236.3328125,-388.3000000000029,-0.0011579193658278752
2025-10-02 00:00:00-04:00,99709.97857142857,99710.02857142857,-0.05000000000291038,-0.0013826435752687383
2025-10-03 00:00:00-04:00,99827.97857142857,99710.02857142857,117.94999999999709,0.001183432206992796
2025-10-06 00:00:00-04:00,99635.22857142857,99710.02857142857,-74.80000000000291,-0.0019308214266011703
2025-10-07 00:00:00-04:00,99780.72857142857,99710.02857142857,70.69999999999709,0.0014603268551311999
2025-10-08 00:00:00-04:00,99488.97857142857,99710.02857142857,-221.0500000000029,-0.0029239113020822494
2025-10-09 00:00:00-04:00,99530.72857142857,99710.02857142857,-179.3000000000029,0.00041964447318187936
2025-10-10 00:00:00-04:00,100254.73995535714,100254.73995535714,0.0,0.007274249815311995
2025-10-13 00:00:00-04:00,100254.73995535714,100254.73995535714,0.0,0.0
2025-10-14 00:00:00-04:00,100254.73995535714,100254.73995535714,0.0,0.0
2025-10-15 00:00:00-04:00,100254.73995535714,100254.73995535714,0.0,0.0
2025-10-16 00:00:00-04:00,100254.73995535714,100254.73995535714,0.0,0.0
2025-10-17 00:00:00-04:00,100252.68995535714,100252.73995535714,-0.05000000000291038,-2.0447911000642804e-05
2025-10-20 00:00:00-04:00,99933.93995535714,100252.73995535714,-318.8000000000029,-0.00317946580926598
2025-10-21 00:00:00-04:00,99944.43995535714,100252.73995535714,-308.3000000000029,0.00010506940889842831
2025-10-22 00:00:00-04:00,100195.83995535715,100195.88995535715,-0.05000000000291038,0.00251539755600505
2025-10-23 00:00:00-04:00,100410.58995535715,100195.88995535715,214.6999999999971,0.0021433025572288322
2025-10-24 00:00:00-04:00,100665.83995535715,100195.88995535715,469.9499999999971,0.0025420625465251145
2025-10-27 00:00:00-04:00,101129.11138392858,101129.11138392858,0.0,0.004602071852545908
2025-10-28 00:00:00-04:00,101129.11138392858,101129.11138392858,0.0,0.0
2025-10-29 00:00:00-04:00,101129.11138392858,101129.11138392858,0.0,0.0
2025-10-30 00:00:00-04:00,101127.06138392858,101127.11138392858,-0.05000000000291038,-2.0271116515813148e-05
2025-10-31 00:00:00-04:00,101248.31138392858,101127.11138392858,121.19999999999709,0.0011989866840851349
2025-11-03 00:00:00-05:00,101347.56138392858,101127.11138392858,220.4499999999971,0.000980263262106762
2025-11-04 00:00:00-05:00,100819.56138392858,101127.11138392858,-307.5500000000029,-0.005209794816866009
2025-11-05 00:00:00-05:00,100990.56138392858,101127.11138392858,-136.5500000000029,0.0016960994240871052
2025-11-06 00:00:00-05:00,100488.56138392858,101127.11138392858,-638.5500000000029,-0.004970761555543657
2025-11-07 00:00:00-05:00,100229.76138392859,100229.76138392859,0.0,-0.0025754175045974437
2025-11-10 00:00:00-05:00,100229.76138392859,100229.76138392859,0.0,0.0
2025-11-11 00:00:00-05:00,100229.76138392859,100229.76138392859,0.0,0.0
