Date,signal,stop_loss,tp1,atr
2025-02-03 00:00:00-05:00,NEUTRAL,21405.0,21405.0,636.75
2025-02-04 00:00:00-05:00,NEUTRAL,21670.25,21670.25,623.5178571428571
2025-02-05 00:00:00-05:00,NEUTRAL,21763.0,21763.0,605.0701530612245
2025-02-06 00:00:00-05:00,LONG,20435.605001822158,23020.665998542274,574.457999271137
2025-02-07 00:00:00-05:00,NEUTRAL,21590.75,21590.75,563.0859993231987
2025-02-10 00:00:00-05:00,NEUTRAL,21846.5,21846.5,556.8655708001131
2025-02-11 00:00:00-05:00,NEUTRAL,21786.75,21786.75,531.5180300286765
2025-02-12 00:00:00-05:00,NEUTRAL,21804.75,21804.75,518.6774564551997
2025-02-13 00:00:00-05:00,NEUTRAL,22113.25,22113.25,508.12906670839976
2025-02-14 00:00:00-05:00,NEUTRAL,22196.25,22196.25,484.86984765779977
2025-02-18 00:00:00-05:00,NEUTRAL,22232.25,22232.25,465.7362871108141
2025-02-19 00:00:00-05:00,NEUTRAL,22250.5,22250.5,445.4515523171845
2025-02-20 00:00:00-05:00,NEUTRAL,22141.75,22141.75,435.02644143738564
2025-02-21 00:00:00-05:00,SHORT,22794.98102476536,20786.665180187712,446.29240990614386
2025-02-24 00:00:00-05:00,SHORT,22528.69666585355,20533.49266731716,443.3786663414193
2025-02-25 00:00:00-05:00,SHORT,22261.084404006866,20259.33247679451,444.8337616027465
2025-02-26 00:00:00-05:00,SHORT,22282.90873229209,20310.273014166327,438.3634929168361
2025-02-27 00:00:00-05:00,SHORT,21766.81703712837,19676.896370297305,464.42681485134784
2025-02-28 00:00:00-05:00,SHORT,22084.017605904915,19987.885915276067,465.8070423619659
2025-03-03 00:00:00-05:00,NEUTRAL,20468.25,20468.25,489.9815393361112
2025-03-04 00:00:00-05:00,SHORT,21653.823216315974,19395.141426947222,501.929286526389
2025-03-05 00:00:00-05:00,SHORT,21921.264415150545,19659.988467879564,502.5057660602184
2025-03-06 00:00:00-05:00,NEUTRAL,20089.25,20089.25,513.8982113416314
2025-03-07 00:00:00-05:00,SHORT,21515.719062043074,19200.97475036554,514.3876248172292
2025-03-10 00:00:00-04:00,SHORT,20817.84627189714,18360.67298248229,546.0385087588556
2025-03-11 00:00:00-04:00,SHORT,20764.357252475915,18306.71419801927,546.142900990366
2025-03-12 00:00:00-04:00,SHORT,20958.07280587049,18546.841755303605,535.8291223481971
2025-03-13 00:00:00-04:00,NEUTRAL,19249.0,19249.0,534.9841850376116
2025-03-14 00:00:00-04:00,SHORT,21042.052572408742,18647.957942073008,532.0210289634965
2025-03-17 00:00:00-04:00,SHORT,21139.78988866526,18785.31808906779,523.215955466104
2025-03-18 00:00:00-04:00,SHORT,20793.545968046314,18459.31322556295,518.7183872185251
2025-03-19 00:00:00-04:00,SHORT,21036.542684614433,18714.915852308455,515.9170738457733
2025-03-20 00:00:00-04:00,SHORT,20941.968207141974,18667.72543428642,505.3872828567895
2025-03-21 00:00:00-04:00,SHORT,20681.30781064969,18466.412735855247,492.198905509876
2025-03-24 00:00:00-04:00,SHORT,21688.04914727739,19323.210682178087,525.5196589109563
2025-03-25 00:00:00-04:00,SHORT,21749.84027961472,19479.427776308225,504.53611184588806
2025-03-26 00:00:00-04:00,SHORT,21375.557045356527,19109.25436371478,503.62281814261036
2025-03-27 00:00:00-04:00,NEUTRAL,19990.25,19990.25,486.38190256099534
2025-03-28 00:00:00-04:00,SHORT,20702.93120237374,18460.255038101008,498.37248094949564
2025-03-31 00:00:00-04:00,SHORT,20688.043259347043,18440.665392522365,499.4173037388174
2025-04-01 00:00:00-04:00,SHORT,20832.209812250825,18622.332150199338,491.0839249003305
2025-04-02 00:00:00-04:00,SHORT,21070.784111375768,18707.772710899386,525.1136445503068
2025-04-03 00:00:00-04:00,SHORT,20098.799531991783,17536.860374406573,569.3198127967134
2025-04-04 00:00:00-04:00,SHORT,19097.331708278085,16292.334633377532,623.332683311234
2025-04-07 00:00:00-04:00,SHORT,19349.825871972505,16133.989302421995,714.6303487890029
2025-04-08 00:00:00-04:00,SHORT,19149.81152397447,15718.900780820422,762.4246095897884
2025-04-09 00:00:00-04:00,SHORT,21532.191057976295,17493.997153618966,897.3764231905177
2025-04-10 00:00:00-04:00,SHORT,20829.2131252637,16608.72949978904,937.8852501054807
2025-04-11 00:00:00-04:00,SHORT,21128.751473459153,16950.49882123268,928.5005893836608
2025-04-14 00:00:00-04:00,SHORT,21182.787082497784,17136.32033400177,899.2148329991137
2025-04-15 00:00:00-04:00,SHORT,21107.66836231937,17242.315310144502,858.9673449277485
2025-04-16 00:00:00-04:00,SHORT,20529.995622153703,16669.45350227704,857.8982488614809
2025-04-17 00:00:00-04:00,SHORT,20442.165577714153,16731.61753782868,824.5662310856608
2025-04-21 00:00:00-04:00,SHORT,19958.475179306,16293.269856555202,814.4900717223993
2025-04-22 00:00:00-04:00,SHORT,20391.896595069855,16779.482723944115,802.7586380279422
2025-04-23 00:00:00-04:00,SHORT,20806.92183827915,17201.662529376677,801.1687353116606
2025-04-24 00:00:00-04:00,SHORT,21328.864921259214,17716.50806299263,802.7459685036849
2025-04-25 00:00:00-04:00,SHORT,21465.329926883554,17991.186058493156,772.0319707534218
2025-04-28 00:00:00-04:00,SHORT,21385.5295749633,18041.97634002936,743.0118299853202
2025-04-29 00:00:00-04:00,SHORT,21422.29531960878,18217.763744312975,712.1181278435116
2025-04-30 00:00:00-04:00,SHORT,21450.247439636725,18225.10204829062,716.6989758546894
2025-05-01 00:00:00-04:00,NEUTRAL,19870.75,19870.75,698.8811918650687
2025-05-02 00:00:00-04:00,NEUTRAL,20195.25,20195.25,686.6218210175639
2025-05-05 00:00:00-04:00,NEUTRAL,20055.5,20055.5,654.4166909448808
2025-05-06 00:00:00-04:00,NEUTRAL,19876.5,19876.5,630.279784448818
2025-05-07 00:00:00-04:00,NEUTRAL,19961.0,19961.0,617.759799845331
2025-05-08 00:00:00-04:00,LONG,18637.75403607334,21356.19677114133,604.0983855706645
2025-05-09 00:00:00-04:00,LONG,18693.173390639527,21291.611287488377,577.4306437441885
